Gemeente,Totaal,NVA
Diest,16979,3782
Geetbets,4531,578
Halle,24471,7099
Affligem,9271,1804
Hoeilaart,6362,-1
Kortenberg,12611,2943
Liedekerke,8939,2316
Pepingen,3257,531
Kortenaken,6084,1041
Meise,12967,2543
Dilbeek,26918,6131
Zaventem,17643,3337
Keerbergen,9079,2497
Rotselaar,11576,2342
Galmaarden,6383,1581
Londerzeel,13303,2797
Huldenberg,6406,1284
Linter,5477,986
Begijnendijk,7591,1452
Tielt-Winge,7929,1406
Landen,11454,1390
Boutersem,5664,776
Oud-Heverlee,7908,1898
Machelen,8258,1404
Sint-Genesius-Rode,10664,-1
Glabbeek,3985,356
Opwijk,9990,2755
Linkebeek,3024,-1
Leuven,59682,11091
Wemmel,9489,-1
Herne,4914,348
Ternat,11202,1948
Kraainem,7009,-1
Holsbeek,7009,1363
Tienen,23694,4082
Kapelle-op-den-Bos,7004,2244
Steenokkerzeel,7977,-1
Aarschot,21631,3890
Zoutleeuw,6269,974
Kampenhout,8026,1587
Gooik,6824,1255
Drogenbos,2802,-1
Bertem,6637,1148
Beersel,15664,3661
Roosdaal,8134,2722
Scherpenheuvel-Zichem,17118,3111
Overijse,14115,-1
Wezembeek-Oppem,7790,-1
Bever,1564,-1
Sint-Pieters-Leeuw,20096,5026
Zemst,15790,4001
Bekkevoort,4587,614
Bierbeek,6698,1477
Grimbergen,23205,3490
Boortmeerbeek,8570,1836
Asse,20253,5173
Merchtem,11427,2059
Herent,14369,3619
Haacht,10202,2299
Tervuren,11792,2539
Hoegaarden,4865,762
Lennik,6539,1798
Lubbeek,10246,2592
Vilvoorde,23755,3636
Tremelo,10635,2132
Mortsel,17019,5238
Rumst,10531,2743
Oud-Turnhout,8693,2773
Zwijndrecht,13177,3816
Ravels,8004,1701
Mechelen,54136,12244
Edegem,14950,5309
Laakdal,11358,2531
Turnhout,27649,6867
Bornem,15393,2331
Retie,7618,1094
Wijnegem,6432,1869
Arendonk,8365,2543
Baarle-Hertog,1347,439
Sint-Katelijne-Waver,14488,4533
Hoogstraten,11882,2336
Herentals,20012,4777
Ranst,13468,3960
Zoersel,15227,5321
Brasschaat,25272,9722
Herselt,10636,3477
Mol,24417,6434
Balen,15532,3941
Niel,6507,1455
Duffel,12184,3778
Lint,6328,2270
Willebroek,16983,5669
Borsbeek,7047,2141
Dessel,6727,3471
Bonheiden,10709,2610
Essen,10740,3144
Antwerpen,278578,102795
Herenthout,6595,932
Aartselaar,10331,3688
Schelle,5730,1442
Wuustwezel,13201,2861
Kontich,14710,4210
Geel,26901,9523
Kasterlee,13352,3644
Heist-op-den-Berg,30409,7901
Schoten,23141,8561
Wommelgem,8624,2405
Beerse,11977,3869
Schilde,13349,4226
Sint-Amands,5815,1091
Puurs,12367,2413
Zandhoven,9358,2599
Malle,10295,2288
Westerlo,18179,6143
Nijlen,16585,4022
Kapellen,17801,4733
Grobbendonk,7956,1991
Hove,5876,1681
Hulshout,7586,2552
Vorselaar,5761,816
Lille,11959,3590
Boechout,9003,2394
Meerhout,7384,1652
Boom,11391,4108
Olen,8766,2361
Lier,24687,7622
Vosselaar,7784,-1
Hemiksem,7379,1227
Merksplas,5810,942
Kalmthout,11567,3093
Putte,12602,2107
Rijkevorsel,7858,2194
Berlaar,8156,-1
Brecht,19410,6003
Stabroek,12713,4159
Oostrozebeke,5660,1579
Langemark-Poelkapelle,5849,1035
Kuurne,9418,1818
Ardooie,6799,775
Moorslede,8171,-1
Houthulst,7124,1813
Jabbeke,10371,2294
Veurne,8595,2272
Heuvelland,5781,991
Mesen,674,-1
Middelkerke,14416,1686
Wingene,10369,-1
Knokke-Heist,24181,4981
Wielsbeke,6853,-1
Menen,22314,3596
Blankenberge,14472,3008
Zedelgem,16577,3223
Damme,8236,1611
Poperinge,14421,1847
Oostkamp,17089,4267
Wevelgem,22925,4563
Alveringem,3626,401
Roeselare,41374,11701
Oudenburg,6992,920
Zuienkerke,2139,-1
Anzegem,10983,1069
Bredene,12134,2522
Beernem,11325,2812
Dentergem,6308,-1
Spiere-Helkijn,1465,-1
Deerlijk,8688,1531
Harelbeke,20185,3880
Oostende,47723,10569
Ieper,25315,-1
Diksmuide,12435,3087
Ingelmunster,8067,-1
Staden,8155,2074
Koekelare,6556,497
Koksijde,16738,4043
Lo-Reninge,2417,-1
Avelgem,7190,893
Ledegem,7221,-1
De_Haan,9719,-1
Lichtervelde,6427,1333
Hooglede,7370,2849
De_Panne,7572,-1
Brugge,82856,15948
Kortemark,9281,831
Tielt,14655,3943
Zwevegem,18015,4470
Gistel,8860,1574
Zonnebeke,9093,-1
Pittem,4958,-1
Waregem,27438,4646
Ruiselede,3999,-1
Torhout,15180,2857
Kortrijk,51761,8247
Izegem,20156,6976
Wervik,13018,2183
Nieuwpoort,8626,1217
Vleteren,2807,356
Lendelede,4342,1031
Meulebeke,8227,1686
Ichtegem,10465,1123
Dilsen-Stokkem,13771,2090
Overpelt,9630,1497
Maaseik,16421,3076
Zonhoven,15107,2810
Kinrooi,8041,2042
Borgloon,8089,1280
As,5751,988
Halen,6877,1308
Voeren,3047,-1
Lommel,22009,3691
Leopoldsburg,10635,2273
Zutendaal,5108,-1
Meeuwen-Gruitrode,9475,1732
Maasmechelen,24291,3466
Opglabbeek,7264,2373
Peer,11714,2481
Herk-de-Stad,9305,2512
Gingelom,6231,805
Lanaken,15574,2407
Ham,7505,1392
Houthalen-Helchteren,21064,3923
Nieuwerkerken,5102,560
Hoeselt,7184,1823
Bocholt,8941,1872
Wellen,5620,639
Kortessem,6446,1261
Bilzen,22835,6137
Hechtel-Eksel,8348,1057
Hasselt,53382,13130
Lummen,10845,3140
Tongeren,22254,4016
Beringen,30102,7600
Genk,42269,7467
Bree,11348,-1
Riemst,10619,2889
Herstappe,0,-1
Diepenbeek,13521,2287
Heusden-Zolder,21910,6098
Sint-Truiden,29418,5259
Hamont-Achel,7755,914
Heers,5448,869
Tessenderlo,13221,2582
Neerpelt,10731,2477
Alken,8573,1969
Zulte,11454,1140
Moerbeke,4584,803
Zwalm,6100,766
Haaltert,13314,2783
Berlare,10815,1650
Eeklo,14544,2803
Beveren,33941,11580
Aalter,14477,-1
Sint-Gillis-Waas,13515,3490
Brakel,10841,1585
Zottegem,19299,4623
Waasmunster,7844,1624
Sint-Martens-Latem,6330,919
Ronse,16429,2684
Lovendegem,7162,1629
Zelzate,8941,869
De_Pinte,7681,1482
Geraardsbergen,23471,3519
Gent,159040,26064
Zomergem,6202,766
Kluisbergen,4784,659
Melle,8011,-1
Assenede,10323,1612
Sint-Niklaas,48873,13546
Maarkedal,4773,1233
Knesselare,5993,-1
Sint-Lievens-Houtem,7541,1141
Kaprijke,4658,1004
Horebeke,1526,409
Aalst,56966,17312
Wetteren,17986,3529
Lede,13410,3141
Oosterzele,10175,-1
Kruishoutem,6073,749
Denderleeuw,13563,3234
Sint-Laureins,5134,740
Waarschoot,5953,-1
Merelbeke,17123,3435
Kruibeke,11477,3707
Zingem,5447,1118
Destelbergen,13163,3362
Oudenaarde,22395,2813
Wortegem-Petegem,4796,1201
Dendermonde,31979,7200
Evergem,24128,7846
Lebbeke,13305,3674
Buggenhout,10520,1579
Stekene,12664,-1
Wichelen,8681,1798
Herzele,13169,2131
Maldegem,17034,4598
Nevele,8817,1641
Erpe-Mere,14228,3542
Wachtebeke,5143,917
Lierde,4991,446
Gavere,9492,-1
Laarne,9385,1824
Zele,14260,1953
Nazareth,8399,1505
Deinze,21900,3694
Ninove,27053,4208
Lokeren,27680,4841
Lochristi,16044,2806
Temse,19799,4316
Hamme,17678,3298
